Time:28.2951099873   TIMDs:1197
Time:24.1213281155   TIMDs:1596
Time:41.2610311508   TIMDs:1995
Time:30.7918820381   TIMDs:2394
Time:50.1593279839   TIMDs:2793
Time:27.6523120403   TIMDs:3192
Time:36.2612090111   TIMDs:3591
Time:36.9807658195   TIMDs:3990
Time:8.51309800148   TIMDs:399
Time:6.97171807289   TIMDs:798
Time:8.3927500248   TIMDs:1197
Time:15.3566420078   TIMDs:1596
Time:8.10404396057   TIMDs:399
Time:7.57168316841   TIMDs:798
Time:9.59872794151   TIMDs:1197
Time:13.8303520679   TIMDs:1596
Time:9.16890692711   TIMDs:399
Time:7.35004782677   TIMDs:798
Time:7.69275283813   TIMDs:1197
Time:9.54496693611   TIMDs:1596
Time:12.3077430725   TIMDs:1995
Time:16.0829699039   TIMDs:2394
Time:15.1486170292   TIMDs:2793
Time:26.3842420578   TIMDs:399
Time:71.2106850147   TIMDs:798
Time:29.543555975   TIMDs:1197
Time:66.5387420654   TIMDs:400
Time:42.0615580082   TIMDs:800
Time:29.5032911301   TIMDs:1200
Time:33.5214180946   TIMDs:1600
Time:36.2792949677   TIMDs:2000
Time:40.9915881157   TIMDs:2400
Time:60.1039631367   TIMDs:2800
Time:56.0292870998   TIMDs:3200
Time:5.09627699852   TIMDs:400
Time:5.64058899879   TIMDs:800
Time:13.9615130424   TIMDs:1200
Time:15.109210968   TIMDs:406
Time:6.34086704254   TIMDs:812
Time:7.15044403076   TIMDs:1218
Time:9.82294201851   TIMDs:1624
Time:11.70789814   TIMDs:2030
Time:13.6692459583   TIMDs:2436
Time:14.5358200073   TIMDs:2842
Time:17.409599781   TIMDs:3248
Time:28.0610280037   TIMDs:3654
Time:33.6181368828   TIMDs:4060
Time:38.5520920753   TIMDs:4466
Time:40.4787061214   TIMDs:4872
Time:41.0777568817   TIMDs:5279
Time:33.9003329277   TIMDs:5691
Time:34.2412810326   TIMDs:6103
Time:37.0370149612   TIMDs:6515
Time:40.3167209625   TIMDs:6927
Time:42.6480019093   TIMDs:7339
Time:43.5435521603   TIMDs:7751
Time:47.8034720421   TIMDs:8163
Time:49.4432089329   TIMDs:8575
Time:54.1416349411   TIMDs:8987
Time:55.3345019817   TIMDs:9405
Time:57.514084816   TIMDs:9823
Time:61.6341049671   TIMDs:10241
Time:63.7036690712   TIMDs:10659
Time:66.9329388142   TIMDs:11077
Time:68.7449288368   TIMDs:11495
Time:83.5409128666   TIMDs:11919
Time:15.7023029327   TIMDs:424
Time:18.6300289631   TIMDs:848
Time:38.3490889072   TIMDs:1272
Time:23.0040988922   TIMDs:1696
Time:32.3802239895   TIMDs:2120
Time:24.6958389282   TIMDs:2544
Time:20.7710251808   TIMDs:2974
Time:38.6621208191   TIMDs:436
Time:31.9903519154   TIMDs:872
